CardId,CardName,CardType,EnergyCost,EffectType,EffectDesc,Params,CardKeyWord
10000001,攻击,Attack,1,Damage,攻击,2
10000002,压制打击,Attack,1,AddState|Damage,对所有敌人造成2层易伤，并攻击选定敌人,3;1;2|2
20000001,护盾,Skill,1,Shield,防御,1
20000002,治疗,Skill,1,Heal,治疗,
20000003,深呼吸,Skill,0,ClearAllStates|AddCost|DrawCard,移除所有状态，获得2点能量，抽2张牌,1|1;2|1;2
30000001,燃烧,State,1,AddState,获得2点攻击力，回合结束时移除,1;3;1
30000002,易伤,Skill,1,AddState,赋予2层易伤,2;1;2
30000003,虚弱,Skill,1,AddState,赋予2层虚弱,2;2;2
30000004,反击,Skill,1,AddState,添加状态反击：回合外受到攻击时，反击目标来源,1;4;1
31002001,反攻号角,State,1,AddState,2回合，反击,1;4;2
31002002,旋风斩,State,1,AddState,你回合外的攻击会作用于所有敌人,1;5;1
11002001,盾牌冲撞,Attack,1,ShieldSlam,造成攻击力+护盾值的伤害,2,Retain
